"","1","2","3","4","5","6"
"abscisic",0.000344781923150132,0,0,1.87986656868336e-05,0,0
"abscission",0.000689563846300264,0,0,5.63959970605007e-05,0,0
"academy",5.72187091219912e-05,0,5.4084468855902e-06,3.11975574005982e-06,5.44883643891149e-06,0.000108227961638977
"acceleration",5.72187091219912e-05,5.87418834771079e-06,0,4.67963361008973e-06,9.53546376809511e-06,1.21377153239974e-05
"accounting",5.72187091219912e-05,2.9370941738554e-06,0,9.35926722017947e-06,6.81104554863936e-06,6.0688576619987e-06
"adapting",5.72187091219912e-05,5.87418834771079e-06,2.7042234427951e-06,3.11975574005982e-06,2.72441821945574e-06,0
"adelaide",0.000344781923150132,0,0,0,0,0.000243793501360685
"aden",0.000562315096959138,0,0,0,0,0
"adsorption",5.72187091219912e-05,0,2.7042234427951e-06,1.24790229602393e-05,1.36220910972787e-06,6.0688576619987e-06
"advances",0.000171656127365974,0,2.7042234427951e-06,2.65179237905085e-05,2.99686004140132e-05,2.62983832019944e-05
"aegean",0.000344781923150132,0,0,0,0,1.21896750680343e-05
"aerobee",0.000562315096959138,0,0,0,0,0
"aged",5.72187091219912e-05,2.9370941738554e-06,0,9.35926722017947e-06,1.22598819875509e-05,8.09181021599827e-06
"agrees",0.000127248749341126,1.95954207664865e-05,0,6.93802817756746e-06,9.08825495439252e-06,0
"agricultural",0.000171656127365974,0,8.1126703283853e-06,6.23951148011964e-06,6.81104554863936e-06,2.42754306479948e-05
"aircraft",0.000254497498682252,0,0,3.46901408878373e-06,3.02941831813084e-06,1.34965391437298e-05
"akaganéite",0.000562315096959138,0,0,0,0,0
"alboran",0.00112463019391828,0,0,0,0,0
"alevel",0.000562315096959138,0,0,0,0,0
"alevels",0.000562315096959138,0,0,0,0,0
"allen",5.72187091219912e-05,5.87418834771079e-06,0,6.23951148011964e-06,9.53546376809511e-06,1.51721441549968e-05
"allende",0.000562315096959138,0,0,0,0,0
"allocation",0.000127248749341126,0,0,3.46901408878373e-06,3.02941831813084e-06,8.99769276248654e-06
"allocations",0.000562315096959138,0,0,0,0,0
"alps",0.000344781923150132,0,0,0,8.20824313920244e-06,0
"already",5.72187091219912e-05,1.76225650431324e-05,0,2.33981680504487e-05,1.22598819875509e-05,9.10328649299805e-06
"altitudes",0.000254497498682252,0,0,3.46901408878373e-06,3.02941831813084e-06,6.74826957186491e-06
"americal",0.000562315096959138,0,0,0,0,0
"american",5.72187091219912e-05,8.81128252156619e-06,0,1.09191450902094e-05,1.36220910972787e-05,7.08033393899849e-06
"analytic",0.000344781923150132,0,0,0,0,3.65690252041028e-05
"andel",0.000344781923150132,0,0,0,0,3.04741876700857e-05
"angstroms",0.000562315096959138,0,0,0,0,0
"anisotropy",5.72187091219912e-05,2.9370941738554e-06,0,1.24790229602393e-05,2.99686004140132e-05,9.10328649299805e-06
"annihilate",0.000562315096959138,0,0,0,0,0
"anomalous",0.000114437418243982,2.9370941738554e-06,0,2.49580459204786e-05,6.81104554863936e-06,6.0688576619987e-06
"anonymous",0.000217533173809006,0,2.05617469260188e-05,5.93031875463306e-06,0,0
"answer",5.72187091219912e-05,5.87418834771079e-06,0,6.23951148011964e-06,1.36220910972787e-06,3.03442883099935e-06
"antarctic",0.000127248749341126,0,0,9.01943663083769e-05,3.02941831813084e-06,0.000112471159531082
"anthropology",0.000114437418243982,0,2.7042234427951e-06,6.23951148011964e-06,2.72441821945574e-06,3.03442883099935e-05
"antiques",0.000562315096959138,0,0,0,0,0
"apollo",0.00112463019391828,0,0,0,0,0
"approximates",0.000562315096959138,0,0,0,0,0
"april",0.000217533173809006,0,0,5.93031875463306e-06,1.55364744632148e-05,0
"arc",5.72187091219912e-05,0,3.51549047563363e-05,4.67963361008973e-06,1.77087184264623e-05,1.21377153239974e-05
"archaean",5.72187091219912e-05,0,1.08168937711804e-05,4.67963361008973e-06,1.90709275361902e-05,4.04590510799914e-06
"arecibo",0.00206869153890079,0,0,0,0,1.21896750680343e-05
"arizona",5.72187091219912e-05,0,2.7042234427951e-06,1.09191450902094e-05,1.77087184264623e-05,5.96771003429872e-05
"arnett",0.000344781923150132,0,0,0,8.20824313920244e-06,0
"arrangements",5.72187091219912e-05,5.87418834771079e-06,0,6.23951148011964e-06,4.08662732918362e-06,1.01147627699978e-06
"article",0.000858280636829869,0,2.7042234427951e-06,9.35926722017947e-06,2.72441821945574e-06,5.66426715119879e-05
"articles",0.000562315096959138,0,0,0,0,0
"aspinall",0.000344781923150132,1.7698004608526e-05,0,0,0,0
"assembles",0.000127248749341126,0,0,3.46901408878373e-06,6.05883663626168e-06,4.49884638124327e-06
"assessment",5.72187091219912e-05,5.87418834771079e-06,0,6.23951148011964e-06,1.0897672877823e-05,3.03442883099935e-06
"assumption",5.72187091219912e-05,2.9370941738554e-06,0,6.23951148011964e-06,8.17325465836724e-06,6.0688576619987e-06
"astronomers",0.000344781923150132,0,0,1.87986656868336e-05,0,0
"astronomical",0.000127248749341126,0,0,2.77521127102698e-05,1.51470915906542e-05,8.99769276248654e-05
"astronomy",0.00229047748814027,0,0,6.24422535981071e-05,6.05883663626168e-05,0.000431889252599354
"astrophysical",0.000254497498682252,0,0,3.46901408878373e-06,6.05883663626168e-06,2.24942319062163e-05
"astrophysics",0.000127248749341126,0,0,1.04070422663512e-05,3.02941831813084e-05,0.000195699817584082
"atlantic",0.000228874836487965,0,2.7042234427951e-06,3.89969467507478e-05,2.31575548653738e-05,9.10328649299805e-06
"atmosphere",0.000228874836487965,0,1.89295640995657e-05,8.7353160721675e-05,5.85749917182985e-05,3.13557645869933e-05
"atmospheres",0.000127248749341126,0,0,6.93802817756746e-06,1.8176509908785e-05,1.57459623343514e-05
"atmospheric",0.000171656127365974,0,1.89295640995657e-05,0.000143508764042752,7.62837101447609e-05,9.00213886529808e-05
"atsronomy",0.000562315096959138,0,0,0,0,0
"attain",0.000127248749341126,1.30636138443244e-05,6.01392545051976e-06,6.93802817756746e-06,0,0
"aumento",0.000562315096959138,0,0,0,0,0
"aurignacian",0.00112463019391828,0,0,0,0,0
"australia",0.000286093545609956,0,2.16337875423608e-05,2.80778016605384e-05,2.04331366459181e-05,0.000340867505348927
"australian",0.000171656127365974,5.87418834771079e-06,0,3.11975574005982e-06,4.08662732918362e-06,6.67574342819857e-05
"author",0.00509246511185722,0,0.00164146362977663,0.00155207848067976,0.00124233470807182,0.000851663025233818
"authors",0.000127248749341126,1.95954207664865e-05,0,0,3.02941831813084e-05,1.34965391437298e-05
"auzende",0.000562315096959138,0,0,0,0,0
"aviation",0.000344781923150132,0,0,0,0,1.21896750680343e-05
