"Abbreviation","Meaning"
"a","(a with a bar over it) before (from Latin ante) before"
"A","assessment"
"ap","apical"
"a.a.","of each (from Latin ana ana) amino acids:
A or Ala – alanine
C or Cys – cysteine
D or Asp – aspartic acid
E or Glu – glutamic acid
F  or Phe – phenylalanine
H or His – histidine
I or Ile – isoleucine
K or Lys – lysine
L or Leu – leucine
M or Met – methionine
N or Asn – asparagine
O or Pyl – pyrrolysine
P or Pro – proline
Q or Gln – glutamine
R or Arg – arginine
S or Ser – serine
T or Thr – threonine
U or Sec – selenocysteine
V or Val – valine
W or Trp – tryptophan
Y or Tyr – tyrosine"
"A1C","glycosylated hemoglobin (hemoglobin A1c)"
"Aa.","arteria, see Artery"
"AAA","abdominal aortic aneurysm (pronounced ""triple-A"")"
"AAD","antibiotic-associated diarrhea"
"AAI","acute arterial insufficiency"
"AAPMC","antibiotic-associated pseudomembranous colitis"
"AAT","activity as tolerated  atypical antibody test"
"AAL","anterior axillary line"
"AAOx3","awake, alert, and oriented, times 3 (i.e., to person, place, and time)"
"A/B","acid-base ratio"
"ab","abdomen, abdominal abortion"
"Ab","antibody"
"AB","abortion, AB Blood Type"
"ABC","airway, breathing, circulation aspiration biopsy cytology"
"ABCD","airway, breathing, circulation, disability  asymmetry, borders, color, diameter (features on considering ""Is it a malignant melanoma?"") ABCD rating (a staging system for prostate cancer)"
"ABCs  ABCDs  ABCDEs","airway, breathing, circulation, etc. Refers to priority of needs in emergency situations. Exact spell-out and details after ""C"" vary by institution, but the ""ABCs"" theme is recurrent."
"ACA","acinic cell carcinoma Affordable Care Act"
"Abd","abdomen abdominal[abduction]"
"ABD","army battle dressing"
"ABE","acute bacterial endocarditis"
"ABG","arterial blood gas"
"ABI","acquired brain injury ankle brachial pressure index"
"ABMT","autologous bone marrow transplantation"
"Abn","abnormal"
"ABO","Landsteiner's blood grouping system"
"ABPA","allergic broncho-pulmonary aspergillosis"
"ABPI","ankle brachial pressure index"
"ABVD","Doxorubicin (adriamycin), bleomycin, vinblastine, dacarbazine (first-line treatment for Hodgkin's lymphoma)"
"ABX","antibiotics"
"a.c.  AC","before a meal (from Latin ante cibum)"
"AC","abdominal circumference  assisted controlled ventilation acromioclavicular joint"
"ACB","aortocoronary bypass"
"AC&BC","air conduction and bone conduction, as in Weber test"
"Acc","accommodation (eye)"
"ACCU","acute coronary care unit"
"ACD","anemia of chronic disease"
"ACDF","anterior cervical discectomy and fusion"
"Ace","acetone"
"ACE","angiotensin-converting enzyme"
"ACEI","angiotensin-converting enzyme inhibitor(s)"
"ACh","acetylcholine"
"AChE","acetylcholine esterase"
"ACL","anterior cruciate ligament"
"ACLS","advanced cardiac life support"
"ACS","altered conscious state acute coronary syndrome acute chest syndrome"
"ACTH","adrenocorticotropic hormone"
"ACP","Advance care planning"
"ACPO","acute colonic pseudo-obstruction"
"ACU","ambulatory care unit"
