"","x"
"1",46
"2",34
"3",12
"4",60
"5",14
"6",31
"7",8
"8",NA
"9",34
"10",34
"11",20
"12",8
"13",10
"14",66
"15",4
"16",24
"17",21
"18",62
"19",38
"20",10
"21",19
"22",27
"23",14
"24",32
"25",16
"26",107
"27",27
"28",41
"29",49
"30",27
"31",12
"32",13
"33",15
"34",35
"35",37
"36",30
"37",14
"38",26
"39",82
"40",20
"41",0
"42",17
"43",16
"44",31
"45",1
"46",17
"47",14
"48",87
"49",53
"50",14
"51",25
"52",79
"53",25
"54",22
"55",14
"56",12
"57",19
"58",40
"59",2
"60",49
"61",44
"62",43
"63",43
"64",48
"65",35
"66",28
"67",60
"68",54
"69",24
"70",26
"71",6
"72",31
"73",18
"74",105
"75",36
"76",16
"77",21
"78",17
"79",22
"80",19
"81",3
"82",45
"83",14
"84",43
"85",16
"86",18
"87",61
"88",9
"89",17
"90",27
"91",12
"92",13
"93",128
"94",7
"95",19
"96",16
"97",10
"98",29
"99",38
"100",16
"101",14
"102",27
"103",19
"104",1
"105",8
"106",127
"107",15
"108",35
"109",10
"110",10
"111",NA
"112",NA
"113",NA
"114",NA
"115",16
"116",4
"117",22
"118",22
"119",210
"120",27
"121",25
"122",6
"123",17
"124",31
