"","x"
"next",21
"tachycardia",21
"transfer",20
"allergy",19
"clinical",19
"complete",19
"impression",19
"insertion",18
"wall",18
"ceftazidime",17
"vancomycin",17
"mixed",17
"effusion",17
"pleural",17
"limbs",17
"low",16
"others",16
"serum",16
"plan",15
"appearance",15
"infection",15
"thoracic",15
"common",15
"multiple",14
"coarse",14
"dysphagia",14
"from",14
"tip",14
"atelectasis",13
"bacteria",13
"bone",13
"intermittent",13
"type",13
"progressive",13
"persistent",13
"distress",13
"albumin",12
"meropenem",12
"abnormal",12
"activity",12
"calcification",12
"cardiovascular",12
"chronic",12
"due",12
"foot",12
"sepsis",12
"venous",12
"component",12
"metabolic",12
"long",12
"epithelial",12
"femoral",12
"enterococcus",12
"acquired",12
"cefepime",11
"normal",11
"high",11
"fentanyl",11
"brief",11
"his",11
"limb",11
"right",11
"syncope",11
"tissue",11
"middle",11
"posterior",11
"urogenital",11
"calcified",11
"cells",11
"internal",11
"pressure",11
"thrombocytopenia",11
"transfusion",11
"aggressive",11
"pneumoniae",11
"diflucan",10
"bacillus",10
"morphine",10
"adrenal",10
"aorta",10
"atrophy",10
"failure",10
"fever",10
"field",10
"lower",10
"marginal",10
"materials",10
"mild",10
"nasal",10
"overload",10
"pulmonary",10
"renal",10
"respiratory",10
"systemic",10
"throat",10
"like",10
"liver",10
"crystal",10
"recurrent",10
"fibrillation",10
"gastric",10
"stenosis",10
"delirium",10
"mask",10
"pseudomonas",10
"drugs",10
"caregiver",10
"complex",10
"candida",9
"daptomycin",9
"levofloxacin",9
"anidulafungin",9
"tigecycline",9
"aortic",9
"bones",9
"fracture",9
"lung",9
"night",9
"septic",9
"small",9
"visual",9
"extremities",9
"peripheral",9
"post",9
"upper",9
"during",9
"associated",9
"hypoactive",9
"insufficiency",9
"arterial",9
"thyroid",8
"plavix",8
"lasix",8
"abscess",8
"anorexia",8
"ascites",8
"body",8
"borderline",8
"disease",8
"extremity",8
"head",8
"hypotension",8
"impairment",8
"joint",8
"leg",8
"lesions",8
"lumbar",8
"lymphadenopathy",8
"myalgia",8
"ocular",8
"ulcer",8
"vertigo",8
"weakness",8
"without",8
"facial",8
"form",8
"dependent",8
"local",8
"minimal",8
"nodular",8
"vascular",8
"atrial",8
"total",8
"hyperbilirubinemia",8
"non",8
"occlusive",8
"pes",8
"beats",8
"infectious",8
"metronidazole",7
"fluconazole",7
"hepatitis",7
"potassium",7
"aspirin",7
"amiodarone",7
"furosemide",7
"colistin",7
"constipation",7
"diarrhea",7
"focus",7
"fractures",7
"glucose",7
"goiter",7
"heart",7
"hematuria",7
"iii",7
"inguinal",7
"lymph",7
"partial",7
"regurgitation",7
"stones",7
"symmetric",7
"white",7
"yeast",7
"flat",7
"movement",7
"part",7
"airway",7
"hypokalemia",7
"opacity",7
"pigmentation",7
"pneumonia",7
"rigidity",7
"slow",7
"syndrome",7
"tapered",7
"tube",7
"alkalosis",7
"anemia",7
"esterase",7
"site",7
"obstruction",7
"rib",7
"onset",7
"generalized",7
"stomach",7
"mental",7
"decompensated",7
"oral",6
"protein",6
"skin",6
"extended",6
"cisplatin",6
"prednisolone",6
"acute",6
"advanced",6
"antibody",6
"anxiety",6
"band",6
"blood",6
"central",6
"diplopia",6
"excess",6
"fatigue",6
"gastrointestinal",6
"intolerance",6
"left",6
"man",6
"positive",6
"telangiectasia",6
"tract",6
"urinary",6
"mass",6
"nervous",6
"drug",6
"colon",6
"hand",6
"hepatic",6
"platelet",6
"sinus",6
"mellitus",6
"red",6
"aeruginosa",6
"dysarthria",6
"erythema",6
"gangrene",6
"toe",6
"vertebral",6
"cyst",6
"decompression",6
"enzymes",6
"peritonitis",6
"ventricular",6
"male",6
"sternal",6
"lactate",6
"staphylococcus",6
"block",6
"multifocal",6
"virus",6
"spot",6
"coagulation",5
"kcl",5
"maxipime",5
"pitressin",5
"epinephrine",5
"flagyl",5
"insulin",5
"iron",5
"ertapenem",5
"influenza",5
"abdominal",5
"anomaly",5
"anosmia",5
"cancer",5
"contact",5
"defect",5
"expansion",5
"hair",5
"hiccup",5
"jaundice",5
"nut",5
"rhabdomyolysis",5
"spine",5
"tinnitus",5
"midline",5
"nodule",5
"refractory",5
"vocal",5
"colitis",5
"continuous",5
"factors",5
"random",5
"resistant",5
"round",5
"viral",5
"double",5
